시도명,시군구명,자치단체코드,과세년도,세목명,부과금액,수납금액,환급금액,결손금액,미수납 금액,징수율
인천광역시 ,연수구,28185,2023,지방교육세,60642598000,59130075000,372219000,959000,1511564000,98
인천광역시 ,연수구,28185,2023,지방소득세,222924000000,217889000000,8577534000,336817000,4698147000,98
인천광역시 ,연수구,28185,2023,지방소비세,6355836000,6355836000,0,0,0,100
인천광역시 ,연수구,28185,2023,지역자원시설세,19907335000,19601830000,21092000,0,305505000,98
인천광역시 ,연수구,28185,2023,취득세,369446000000,369160000000,2102555000,0,286445000,100
인천광역시 ,연수구,28185,2023,재산세,137709000000,135511000000,126349000,0,2197683000,98
인천광역시 ,연수구,28185,2023,자동차세,56080924000,52215702000,807003000,3642000,3861580000,93
인천광역시 ,연수구,28185,2023,레저세,6489092000,6489092000,0,0,0,100
인천광역시 ,연수구,28185,2023,등록면허세,18186700000,18019395000,100675000,362000,166943000,99
인천광역시 ,연수구,28185,2023,도시계획세,0,0,0,0,0,0
인천광역시 ,연수구,28185,2023,과년도수입,8463831000,2125257000,8437178000,718330000,5620244000,25
인천광역시 ,연수구,28185,2023,담배소비세,0,0,0,0,0,0
인천광역시 ,연수구,28185,2023,주민세,21337631000,20862745000,34559000,129000,474757000,98
